host	host_disease	isolation_source	Manual_identified_host	Manual_source_category	Manual_source	Manual_sample
oreochromis niloticus		aquaculture tilapia pond	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
oreochromis niloticus		fish farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
oreochromis niloticus		tilapia farm cage	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
pangasius bocourti	motile aeromonas septicemia	fish farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
puntigrus tetrazona		florida freshwater fish farms	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
salmo salar		decantation water	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
scatophagus argus		farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
sebastes schlegelii		aquaculture farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
seriola dumerili	nocardiosis	fish farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
seriola dumerili		aquaculture environment	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
seriola dumerili		fish farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
seriola quinqueradiata	nocardiosis	fish farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
siganus guttatus		farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
sparus aurata		fish farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
xiphophorus helleri		aquaculture (freshwater)	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		a bass farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		aquaculture pond	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		biofilm from indoor freshwater fish hatchery	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		captive tank for scyliorhinus torazame	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		culture pond	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		culture pond	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		filter from recirculating aquaculture system	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		fish - raceways	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		fish - waste pond	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		fish breeding base	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		fish farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		fish pond	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		fishpond	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		freshwater farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		hatchery	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		hybrid grouper cage from fish farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		indoor raceway from infected fish farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		isolated from fish farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		marine aquaculture environment	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		recirculating aquaculture system	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		salmon farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		south china sea, nha trang bay mussell farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		terrene aquaculture farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		the ras atlantic salmon facility	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		trout farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		turbot fish farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
		aquaculture metagenome	Animal-associated	Aquatic	Aquaculture	Metagenomic/Cecal
magallana gigas		pacific oyster seed	Animal-associated	Aquatic	Aquaculture	Whole Animal
magallana gigas		sick oyster seed	Animal-associated	Aquatic	Aquaculture	Whole Animal
missing	missing	oyster sample	Animal-associated	Aquatic	Aquaculture	Whole Animal
missing		flower clam	Animal-associated	Aquatic	Aquaculture	Whole Animal
panopea generosa		sick geoduck seed	Animal-associated	Aquatic	Aquaculture	Whole Animal
		pacific oyster seed	Animal-associated	Aquatic	Aquaculture	Whole Animal
enhydra lutris nereis		oropharyngeal swab	Animal-associated	Aquatic	Aquatic	Respiratory Samples
meretrix lyrata		food	Animal-associated	Aquatic	Bivalves	Meat/Organ
callinectes sp.		gastrointestinal tract	Animal-associated	Aquatic	Crab	Intestinal
land crag		intestines	Animal-associated	Aquatic	Crab	Intestinal
orisarma dehaani		gut	Animal-associated	Aquatic	Crab	Intestinal
scylla serrata		intestine	Animal-associated	Aquatic	Crab	Intestinal
ucides sp.		gastrointestinal tract	Animal-associated	Aquatic	Crab	Intestinal
crab	botulism	river	Animal-associated	Aquatic	Crab	Meat/Organ
crab		gills	Animal-associated	Aquatic	Crab	Respiratory Samples
missing	missing	crab meat	Animal-associated	Aquatic	Crab	Meat/Organ
missing	missing	frozen precooked crab meat	Animal-associated	Aquatic	Crab	Meat/Organ
missing	missing	frozen small crab	Animal-associated	Aquatic	Crab	Meat/Organ
missing	missing	lump crab meat	Animal-associated	Aquatic	Crab	Meat/Organ
missing	missing	pre-cooked crab meat	Animal-associated	Aquatic	Crab	Meat/Organ
missing		frozen blue crab	Animal-associated	Aquatic	Crab	Meat/Organ
	missing	claw crab meat	Animal-associated	Aquatic	Crab	Meat/Organ
	missing	crab meat	Animal-associated	Aquatic	Crab	Meat/Organ
	missing	fresh crab meat	Animal-associated	Aquatic	Crab	Meat/Organ
	missing	fresh crab meat super lump	Animal-associated	Aquatic	Crab	Meat/Organ
	missing	frozen crab meat	Animal-associated	Aquatic	Crab	Meat/Organ
	missing	frozen whole cleaned soft shell crab	Animal-associated	Aquatic	Crab	Meat/Organ
	missing	sea crab	Animal-associated	Aquatic	Crab	Meat/Organ
	not applicable	solid - food; food; fish and seafood products; heat processed - cooked crab meat; frozen	Animal-associated	Aquatic	Crab	Meat/Organ
	not applicable	solid - food; food; fish and seafood products; raw fish and crustaceans - crab; raw	Animal-associated	Aquatic	Crab	Meat/Organ
		cooked crab meat	Animal-associated	Aquatic	Crab	Meat/Organ
		crab	Animal-associated	Aquatic	Crab	Meat/Organ
		crab	Animal-associated	Aquatic	Crab	Meat/Organ
		crab claw	Animal-associated	Aquatic	Crab	Meat/Organ
		crab cut	Animal-associated	Aquatic	Crab	Meat/Organ
		crab in shell	Animal-associated	Aquatic	Crab	Meat/Organ
		crab meat	Animal-associated	Aquatic	Crab	Meat/Organ
		crab meat claw	Animal-associated	Aquatic	Crab	Meat/Organ
		crab meat jumbo lump	Animal-associated	Aquatic	Crab	Meat/Organ
		crab pasteurized	Animal-associated	Aquatic	Crab	Meat/Organ
		crabmeat	Animal-associated	Aquatic	Crab	Meat/Organ
		crabs (environmental isolate)	Animal-associated	Aquatic	Crab	Meat/Organ
		fresh cooked crab meat	Animal-associated	Aquatic	Crab	Meat/Organ
		fresh crab meat	Animal-associated	Aquatic	Crab	Meat/Organ
		frozen blue crab	Animal-associated	Aquatic	Crab	Meat/Organ
		frozen clean cut crab	Animal-associated	Aquatic	Crab	Meat/Organ
		frozen cleaned crab	Animal-associated	Aquatic	Crab	Meat/Organ
		frozen cooked snow crab section	Animal-associated	Aquatic	Crab	Meat/Organ
		frozen crab	Animal-associated	Aquatic	Crab	Meat/Organ
		frozen crab cake	Animal-associated	Aquatic	Crab	Meat/Organ
		frozen crab claw	Animal-associated	Aquatic	Crab	Meat/Organ
		frozen crab section	Animal-associated	Aquatic	Crab	Meat/Organ
		frozen cut crab	Animal-associated	Aquatic	Crab	Meat/Organ
		frozen cut crab claw	Animal-associated	Aquatic	Crab	Meat/Organ
		frozen cut crab section	Animal-associated	Aquatic	Crab	Meat/Organ
		frozen jumbo crab	Animal-associated	Aquatic	Crab	Meat/Organ
		frozen pasteurized cooked crab meat	Animal-associated	Aquatic	Crab	Meat/Organ
		frozen prepared crab mixed	Animal-associated	Aquatic	Crab	Meat/Organ
		frozen raw soft shell crab	Animal-associated	Aquatic	Crab	Meat/Organ
		frozen snow crab	Animal-associated	Aquatic	Crab	Meat/Organ
		frozen soft crab	Animal-associated	Aquatic	Crab	Meat/Organ
		frozen soft shell crab	Animal-associated	Aquatic	Crab	Meat/Organ
		frozen steamed crab	Animal-associated	Aquatic	Crab	Meat/Organ
		frozen swimming crab	Animal-associated	Aquatic	Crab	Meat/Organ
		paralithodes camtschatica collected from peter the great bay	Animal-associated	Aquatic	Crab	Meat/Organ
		pre-cooked crab meat jumb lump	Animal-associated	Aquatic	Crab	Meat/Organ
		raw whole crab	Animal-associated	Aquatic	Crab	Meat/Organ
		snow crab cluster	Animal-associated	Aquatic	Crab	Meat/Organ
		soft shell crab	Animal-associated	Aquatic	Crab	Meat/Organ
		stone crab claw	Animal-associated	Aquatic	Crab	Meat/Organ
		swimming crab	Animal-associated	Aquatic	Crab	Meat/Organ
		whole crab mixture	Animal-associated	Aquatic	Crab	Meat/Organ
		surface of the striped shore crab, pachygrapsus crassipes	Animal-associated	Aquatic	Crab	Skin
callinectes sapidus		wild-caught	Animal-associated	Aquatic	Crab	Unknown
callinectes sapidus		wild-caught atlantic blue crabs	Animal-associated	Aquatic	Crab	Unknown
cancer pagurus		samples taken from the carapace of c. pagurus	Animal-associated	Aquatic	Crab	Unknown
carcinoscorpius rotundicauda			Animal-associated	Aquatic	Crab	Unknown
crab			Animal-associated	Aquatic	Crab	Unknown
eriocheir sinensis		missing	Animal-associated	Aquatic	Crab	Unknown
horseshoe crab			Animal-associated	Aquatic	Crab	Unknown
mud crab			Animal-associated	Aquatic	Crab	Unknown
paralithodes camtschaticus			Animal-associated	Aquatic	Crab	Unknown
dolphin		blood	Animal-associated	Aquatic	Dolphin	Blood
delphinus delphis	missing	blowhole	Animal-associated	Aquatic	Dolphin	Blowhole
dolphin		blowhole	Animal-associated	Aquatic	Dolphin	Blowhole
tursiops truncatus		blowhole chuff	Animal-associated	Aquatic	Dolphin	Blowhole
coryphaena hippurus	missing	feces dolphin	Animal-associated	Aquatic	Dolphin	Feces
dolphin		rectum	Animal-associated	Aquatic	Dolphin	Feces
tursiops truncatus		feces	Animal-associated	Aquatic	Dolphin	Feces
stenella attenuata		heart of pantropical spotted dolphin	Animal-associated	Aquatic	Dolphin	Meat/Organ
stenella attenuata		kidney of pantropical spotted dolphin	Animal-associated	Aquatic	Dolphin	Meat/Organ
stenella attenuata		liver of pantropical spotted dolphin	Animal-associated	Aquatic	Dolphin	Meat/Organ
stenella attenuata		spleen of pantropical spotted dolphin	Animal-associated	Aquatic	Dolphin	Meat/Organ
dolphin		milk	Animal-associated	Aquatic	Dolphin	Milk
dolphin	infection	purulent material	Animal-associated	Aquatic	Dolphin	Pus
dolphin		purulent material from a dolphin living in an aquarium	Animal-associated	Aquatic	Dolphin	Pus
delphinidae		respiratory system	Animal-associated	Aquatic	Dolphin	Respiratory Samples
dolphin	mising	respiratorial orifice	Animal-associated	Aquatic	Dolphin	Respiratory Samples
dolphin		bal	Animal-associated	Aquatic	Dolphin	Respiratory Samples
dolphin		lung l	Animal-associated	Aquatic	Dolphin	Respiratory Samples
dolphin		lung r	Animal-associated	Aquatic	Dolphin	Respiratory Samples
dolphin		oropharynx	Animal-associated	Aquatic	Dolphin	Respiratory Samples
stenella attenuata		lung of pantropical spotted dolphin	Animal-associated	Aquatic	Dolphin	Respiratory Samples
tursiops truncatus	granulomas	lung	Animal-associated	Aquatic	Dolphin	Respiratory Samples
tursiops truncatus		swab sample of gingival sulcus (mouth) from 5 year old male dolphin_j	Animal-associated	Aquatic	Dolphin	Saliva
delphinidae		skin lesion	Animal-associated	Aquatic	Dolphin	Skin
dolphin		skin	Animal-associated	Aquatic	Dolphin	Skin
		gastric juice from a dolphin kept in captivity in a marine aquarium	Animal-associated	Aquatic	Dolphin	Stomach
pontoporia blainvillei	unknown	spiracle swabs	Animal-associated	Aquatic	Dolphin	Swab
tursiops truncatus		swab sample of gingival sulcus (mouth) from 29 year old lactating female dolphin_z	Animal-associated	Aquatic	Dolphin	Swab
tursiops truncatus (bottlenose dolphin)		4 rectangular cells and fluid captured using a micromanipulator; swab from the dolphin mouth, specifically the roof of the mouth, the tongue, and between the tongue and mandible	Animal-associated	Aquatic	Dolphin	Swab
delphinidae			Animal-associated	Aquatic	Dolphin	Unknown
delphinus delphis	unknown	missing	Animal-associated	Aquatic	Dolphin	Unknown
dolphin	mising	not known	Animal-associated	Aquatic	Dolphin	Unknown
dolphin	missing	not provided	Animal-associated	Aquatic	Dolphin	Unknown
dolphin		missing	Animal-associated	Aquatic	Dolphin	Unknown
pantropical spotted dolphin	pneumonia	missing	Animal-associated	Aquatic	Dolphin	Unknown
stenella coeruleoalba		missing	Animal-associated	Aquatic	Dolphin	Unknown
tursiops truncatus	unknown	missing	Animal-associated	Aquatic	Dolphin	Unknown
tursiops truncatus (bottlenose dolphin)		missing	Animal-associated	Aquatic	Dolphin	Unknown
oreochromis niloticus		peritoneal cavity	Animal-associated	Aquatic	Fish	Abdominal
danio rerio (zebrafish)		zebrafish from quarantine facility	Animal-associated	Aquatic	Fish	Aquacultured
lates calcarifer	columnaris	diseased asian sea bass	Animal-associated	Aquatic	Fish	Aquacultured
lates calcarifer	streptococcosis	dead farmed asian seabass in pond	Animal-associated	Aquatic	Fish	Aquacultured
missing	missing	cultivated yellowtail	Animal-associated	Aquatic	Fish	Aquacultured
oreochromis niloticus	outbreak	tilapia from fish farming	Animal-associated	Aquatic	Fish	Aquacultured
paralichthys olivaceus	streptococcosis	diseased olive flounder	Animal-associated	Aquatic	Fish	Aquacultured
paralichthys olivaceus		diseased olive flounder at commercial aquaculture farm	Animal-associated	Aquatic	Fish	Aquacultured
pseudoplatystoma corruscans		brazil: north of parana's state, psciculture	Animal-associated	Aquatic	Fish	Aquacultured
salvelinus alpinus		gut from farmed juvenile arctic char	Animal-associated	Aquatic	Fish	Aquacultured
seriola lalandi		farmed fish	Animal-associated	Aquatic	Fish	Aquacultured
		farm raised stripped bass	Animal-associated	Aquatic	Fish	Aquacultured
		farm raised tilapia	Animal-associated	Aquatic	Fish	Aquacultured
		fish (aquaculture)	Animal-associated	Aquatic	Fish	Aquacultured
		fish aquaculture	Animal-associated	Aquatic	Fish	Aquacultured
		fish larvae aquaculture	Animal-associated	Aquatic	Fish	Aquacultured
carassius auratus		aquarium water	Animal-associated	Aquatic	Fish	Breeding Environment Water
d. labrax	vibriosis	sea	Animal-associated	Aquatic	Fish	Breeding Environment Water
fish		fresh water	Animal-associated	Aquatic	Fish	Breeding Environment Water
fish		water	Animal-associated	Aquatic	Fish	Breeding Environment Water
oncorhynchus mykiss	furunculosis	fresh water	Animal-associated	Aquatic	Fish	Breeding Environment Water
oreochromis niloticus	piscine francisellosis	recirculating aquaculture system with fresh water at 25c	Animal-associated	Aquatic	Fish	Breeding Environment Water
s. aurata	vibriosis	sea	Animal-associated	Aquatic	Fish	Breeding Environment Water
sparus aurata		water	Animal-associated	Aquatic	Fish	Breeding Environment Water
tilapia		water	Animal-associated	Aquatic	Fish	Breeding Environment Water
paralichthys olivaceus		commercial aquaculture farm	Animal-associated	Aquatic	Fish	Breeding/Hospital Environment Sample
labeo rohita	missing	rohu egg	Animal-associated	Aquatic	Fish	Eggs
missing	missing	caviar	Animal-associated	Aquatic	Fish	Eggs
missing	missing	rohu egg	Animal-associated	Aquatic	Fish	Eggs
missing		caviar	Animal-associated	Aquatic	Fish	Eggs
rainbow trout		egg surface	Animal-associated	Aquatic	Fish	Eggs
	missing	hilsha egg	Animal-associated	Aquatic	Fish	Eggs
	missing	hilsha ilisha egg roe	Animal-associated	Aquatic	Fish	Eggs
		fish egg	Animal-associated	Aquatic	Fish	Eggs
		granular salmon caviar	Animal-associated	Aquatic	Fish	Eggs
		hilsha ilisha egg roe	Animal-associated	Aquatic	Fish	Eggs
fish		feces	Animal-associated	Aquatic	Fish	Feces
gomphosus varius	missing	feces	Animal-associated	Aquatic	Fish	Feces
marine fish	surveillance	cloaca	Animal-associated	Aquatic	Fish	Feces
marine fish		cloaca	Animal-associated	Aquatic	Fish	Feces
oncorhynchus mykiss		feces	Animal-associated	Aquatic	Fish	Feces
anabas testudineus	unknown	retail market fish	Animal-associated	Aquatic	Fish	Fish Market
anabas testudineus	unknown	retail market fish	Animal-associated	Aquatic	Fish	Fish Market
channa punctata		daily bazar, amingaon, ngtc	Animal-associated	Aquatic	Fish	Fish Market
channa punctata		daily bazar, amingaon, ngtc	Animal-associated	Aquatic	Fish	Fish Market
cirrhinus mrigala		retail fish market	Animal-associated	Aquatic	Fish	Fish Market
cirrhinus mrigala		retail fish market	Animal-associated	Aquatic	Fish	Fish Market
clarias magur		retail fish market	Animal-associated	Aquatic	Fish	Fish Market
clarias magur		retail fish market	Animal-associated	Aquatic	Fish	Fish Market
labeo catla		retail fish market	Animal-associated	Aquatic	Fish	Fish Market
labeo catla		retail fish market	Animal-associated	Aquatic	Fish	Fish Market
ophichthys cuchia		retail fish market	Animal-associated	Aquatic	Fish	Fish Market
ophichthys cuchia		retail fish market	Animal-associated	Aquatic	Fish	Fish Market
penaeus sp.		retail fish market	Animal-associated	Aquatic	Fish	Fish Market
sperata seenghala		retail fish market	Animal-associated	Aquatic	Fish	Fish Market
sperata seenghala		retail fish market	Animal-associated	Aquatic	Fish	Fish Market
		retail fish market	Animal-associated	Aquatic	Fish	Fish Market
		retail fish market	Animal-associated	Aquatic	Fish	Fish Market
		sliced fish sold as asian bighead carp; muscle	Animal-associated	Aquatic	Fish	Fish Market
		sliced fish sold as grass carp; muscle	Animal-associated	Aquatic	Fish	Fish Market
		sliced fish sold as salmon; muscle	Animal-associated	Aquatic	Fish	Fish Market
		sliced fish sold as snakehead; muscle	Animal-associated	Aquatic	Fish	Fish Market
		sliced fish sold as tai [tilapia]3; muscle	Animal-associated	Aquatic	Fish	Fish Market
		sliced fish sold as tuna; muscle	Animal-associated	Aquatic	Fish	Fish Market
		sliced fish sold as wolf herring; muscle	Animal-associated	Aquatic	Fish	Fish Market
		whole fish sold as asian bighead carp; muscle	Animal-associated	Aquatic	Fish	Fish Market
		whole fish sold as asian bighead carp; organs	Animal-associated	Aquatic	Fish	Fish Market
		whole fish sold as asian bighead carp; surface swab	Animal-associated	Aquatic	Fish	Fish Market
		whole fish sold as black tilapia; muscle	Animal-associated	Aquatic	Fish	Fish Market
		whole fish sold as black tilapia; organs	Animal-associated	Aquatic	Fish	Fish Market
		whole fish sold as red tilapia; organs	Animal-associated	Aquatic	Fish	Fish Market
		whole live fish sold as snakehead-haruan; muscle	Animal-associated	Aquatic	Fish	Fish Market
		drain of a fish-processing plant	Animal-associated	Aquatic	Fish	Industrial Processing Unit
		gutting machine in salmon factory	Animal-associated	Aquatic	Fish	Industrial Processing Unit
abbottina obtusirostris		fish gut	Animal-associated	Aquatic	Fish	Intestinal
abbottina rivularis		fish gut	Animal-associated	Aquatic	Fish	Intestinal
acrossocheilus monticola		fish gut	Animal-associated	Aquatic	Fish	Intestinal
ageneiogarra imberba		fish gut	Animal-associated	Aquatic	Fish	Intestinal
ameiurus nebulosus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
anabas testudineus		gut content of anabas testudineus	Animal-associated	Aquatic	Fish	Intestinal
anabas testudineus		gut contents of anabas testudineus	Animal-associated	Aquatic	Fish	Intestinal
ancherythroculter kurematsui		fish gut	Animal-associated	Aquatic	Fish	Intestinal
anoplogaster cornuta		intestine	Animal-associated	Aquatic	Fish	Intestinal
atlantic mackerel		fish gut	Animal-associated	Aquatic	Fish	Intestinal
barbodes semifasciolatus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
bass		intestines	Animal-associated	Aquatic	Fish	Intestinal
bathyopsurus nybelini specimen at50-02-018		bathyopsurus nybelini gut	Animal-associated	Aquatic	Fish	Intestinal
belligobio nummifer		fish gut	Animal-associated	Aquatic	Fish	Intestinal
black bass		intestinal	Animal-associated	Aquatic	Fish	Intestinal
brown trout		intestinal mucus of brown trout	Animal-associated	Aquatic	Fish	Intestinal
canthopagrus schlegeli		intestine	Animal-associated	Aquatic	Fish	Intestinal
carassius auratus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
carassius auratus		intestines of sick fish	Animal-associated	Aquatic	Fish	Intestinal
carp		gastrointestinal tract	Animal-associated	Aquatic	Fish	Intestinal
carp		healthy gut	Animal-associated	Aquatic	Fish	Intestinal
catfish		intestinal tract	Animal-associated	Aquatic	Fish	Intestinal
centroscyllium fabricii (deep sea shark)		fish gut	Animal-associated	Aquatic	Fish	Intestinal
centroscymnus coelolepis		intestine	Animal-associated	Aquatic	Fish	Intestinal
channa argus		gut of channa argus	Animal-associated	Aquatic	Fish	Intestinal
channa maculata		intestine	Animal-associated	Aquatic	Fish	Intestinal
channel catfish		intestine	Animal-associated	Aquatic	Fish	Intestinal
chanodichthys dabryi		fish gut	Animal-associated	Aquatic	Fish	Intestinal
chanodichthys mongolicus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
chimarrichthys kishinouyei		fish gut	Animal-associated	Aquatic	Fish	Intestinal
claea dabryi		fish gut	Animal-associated	Aquatic	Fish	Intestinal
collichthys lucidus		gut	Animal-associated	Aquatic	Fish	Intestinal
coreius guichenoti		fish gut	Animal-associated	Aquatic	Fish	Intestinal
ctenopharyngodon idella		fish gut	Animal-associated	Aquatic	Fish	Intestinal
ctenopharyngodon idella		intestine	Animal-associated	Aquatic	Fish	Intestinal
culter alburnus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
culter oxycephaloides		fish gut	Animal-associated	Aquatic	Fish	Intestinal
cyprinus carpio		fish gut	Animal-associated	Aquatic	Fish	Intestinal
cyprinus carpio		gastrointestinal tract	Animal-associated	Aquatic	Fish	Intestinal
cyprinus carpio		gut	Animal-associated	Aquatic	Fish	Intestinal
cyprinus carpio carpio		internal organs	Animal-associated	Aquatic	Fish	Meat/Organ
cyprinus carpio l. (common carp)		intestinal contents	Animal-associated	Aquatic	Fish	Intestinal
cyprinus carpio var. specularis		gastro-intestinal tract of fish	Animal-associated	Aquatic	Fish	Intestinal
cyprinus carpio var. specularis		gastro-intestinal tract of fish	Animal-associated	Aquatic	Fish	Intestinal
dicentrarchus labrax (european sea bass)		gut	Animal-associated	Aquatic	Fish	Intestinal
dicentrarchus labrax (european sea bass)		gut of fish fed a soybean meal-based diet	Animal-associated	Aquatic	Fish	Intestinal
discogobio yunnanensis		fish gut	Animal-associated	Aquatic	Fish	Intestinal
dissostichus mawsoni		gut	Animal-associated	Aquatic	Fish	Intestinal
distoechodon tumirostris		fish gut	Animal-associated	Aquatic	Fish	Intestinal
